,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
617.7528856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14369172,0,0
618.0420088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492996.6,0,0,0,0,0
618.0524503,0,0,0,0,0,0,0,0,0,0,1451177.9,0,0,0,0,0,0,0,0,0,0,0
618.0772411,0,0,0,4440064.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618.0777338,0,6669694.5,5774729.5,0,4496096,5168696,5029671,0,0,0,2362542,0,2688525,0,0,0,0,0,0,0,0,0
618.0785034,0,0,0,0,0,0,0,0,0,0,0,2912374.5,0,1972059.8,0,2050313.6,2272265.5,2577896,0,0,0,3148734
618.0789347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2496257.8,0,0,0,0,0,0,0
618.2187561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448217.9,0,0,0,0,0,0,0
618.2508254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2165551.8,0
618.2519367,0,15673753,21166524,22661164,0,16250471,0,0,0,2589690.3,0,8912038,10916404,11649404,5992735.5,0,0,3798009.3,5085024,0,0,11171782
618.2523655,3018756.5,0,0,0,15963904,0,11926348,0,0,0,0,0,0,0,0,5309717,3566624.5,0,0,2401455.3,0,0
618.2528999,0,0,0,0,0,0,0,3482746,0,0,5144778,0,0,0,0,0,0,0,0,0,0,0
618.2533157,0,0,0,0,0,0,0,0,2035954.8,0,0,0,0,0,0,0,0,0,0,0,0,0
618.4104484,0,0,0,0,0,1878161.3,0,0,0,0,0,0,0,0,1479226.9,0,0,0,0,0,0,0
