Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Stegen_ICR_5_pp1_Nov20_1_01_24960,Stegen_ICR_6_pp1_Nov20_1_01_24954,Stegen_ICR_6_pp2_Nov20_1_01_24949,Stegen_ICR_6_pp3_Nov20_1_01_24963,Stegen_ICR_7_pp1_Nov20_1_01_24969,Stegen_ICR_7_pp2_Nov20_1_01_24970,Stegen_ICR_7_pp3_Nov20_1_01_24952,Stegen_ICR_8_pp1_Nov20_1_01_24966,Stegen_ICR_8_pp2_Nov20_1_01_24959,Stegen_ICR_8_pp3_Nov20_1_01_24947,Stegen_ICR_9_pp1_Nov20_1_01_24951,Stegen_ICR_9_pp2_Nov20_1_01_24946,Stegen_ICR_9_pp3_Nov20_1_01_24955,Stegen_ICR_10_pp1_Nov20_1_01_24948,Stegen_ICR_10_pp2_Nov20_1_01_24965,Stegen_ICR_10_pp3_Nov20_1_01_24950,Stegen_River_at_ICR2p1_Nov20_1_01_24962,Stegen_River_at_ICR2p2_Nov20_1_01_24968,Stegen_River_at_ICR3_Nov20_1_01_24971,Stegen_River_at_ICR6_Nov20_1_01_24958,Stegen_River_at_ICR7_Nov20_1_01_24945,Stegen_River_at_ICR8_Nov20_1_01_24957,Stegen_River_at_ICR9_Nov20_1_01_24956,Stegen_River_at_ICR10_Nov20_1_01_24964,Stegen_ICR_1_pp1_Nov20_1_01_24967,Stegen_ICR_2_pp1_Nov20_1_01_24953,Stegen_ICR_3_pp1_Nov20_1_01_24944,Stegen_ICR_4_pp1_Nov20_1_01_24961
106.392806076689,0,0,0,0,0,0,0,0,,None,107.400082543569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.412880408101,0,0,0,0,0,0,0,0,,None,107.420156874981,0,0,0,0,0,0,0,0,0,0,0,1063218.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.448002510628,0,0,0,0,0,0,0,0,,None,107.455278977508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940429,0,0,0
106.483955884827,0,0,0,0,0,0,0,0,,None,107.491232351707,0,0,0,0,0,0,1033182.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.489397821531,0,0,0,0,0,0,0,0,,None,107.496674288411,0,0,0,0,0,0,0,0,0,0,1024091.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.544250431463,0,0,0,0,0,0,0,0,,None,107.551526898343,0,0,0,1023202.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.554776122558,0,0,0,0,0,0,0,0,,None,107.562052589438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939142.6,0,0,0,0,0
106.606352353646,0,0,0,0,0,0,0,0,,None,107.613628820526,0,0,0,0,0,951688.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.700796959747,0,0,0,0,0,0,0,0,,None,107.708073426627,0,0,0,945588.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.74701389491,0,0,0,0,0,0,0,0,,None,107.75429036179,0,0,0,0,0,0,0,0,0,985845.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
