,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,kmass,kdefect,NOSC,GFE,AI,AI_Mod,DBE,DBE_O,DBE_AI,ElComposition,bs1_class,bs2_class,bs3_class
566.7498633,0,0,0,0,0,0,0,0,,None,567.7571398,0,-1,NA,NA,NA,NA,NA,NA,566.117025339531,0.88297466046879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7502659,0,0,0,0,0,0,0,0,,None,567.7575424,0,-1,NA,NA,NA,NA,NA,NA,566.117427489984,0.882572510015621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7590311,0,0,0,0,0,0,0,0,,None,567.7663076,0,-1,NA,NA,NA,NA,NA,NA,566.126182902684,0.873817097316191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.7734505,0,0,0,0,0,0,0,0,,None,567.780727,0,-1,NA,NA,NA,NA,NA,NA,566.140586201853,0.859413798147102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566.9017666,0,0,0,0,0,0,0,0,,None,567.9090431,0,-1,NA,NA,NA,NA,NA,NA,566.268759022949,0.731240977050675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.1269859,0,0,0,0,0,0,0,0,,None,568.1342624,0,-1,NA,NA,NA,NA,NA,NA,566.493726841067,0.506273158933027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.171949,26,32,14,0,0,0,0,0,CHO,Lignin,568.1792255,-0.034706085,-1,C26H32O14,0.538461538461538,1.23076923076923,0,0,NA,566.538639734868,0.461360265132157,-0.153846153846154,64.6846153846154,0,0.210526315789474,11,-3,-3,CHO,Lignin,Lignin,Other
567.1724547,27,36,9,0,0,2,0,0,CHOS,Lignin,568.1797312,0.603647434,-1,C27H36O9S2,0.333333333333333,1.33333333333333,0,0,NA,566.539144870199,0.460855129801303,-0.518518518518518,75.0777777777778,0,0.170731707317073,10,1,-1,CHOS,Lignin,Lignin,Other
567.2083157,27,36,13,0,0,0,0,0,CHO,Lignin,568.2155922,-0.001620132,-1,C27H36O13,0.481481481481481,1.33333333333333,0,0,NA,566.574965827486,0.425034172514415,-0.37037037037037,70.8555555555556,0,0.170731707317073,10,-3,-3,CHO,Lignin,Lignin,Other
567.2403766,0,0,0,0,0,0,0,0,,None,568.247653,0,-1,NA,NA,NA,NA,NA,NA,566.606990927998,0.393009072001746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.2490134,0,0,0,0,0,0,0,0,,None,568.2562899,0,-1,NA,NA,NA,NA,NA,NA,566.61561808407,0.384381915929794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.2494845,0,0,0,0,0,0,0,0,,None,568.2567609,0,-1,NA,NA,NA,NA,NA,NA,566.616088658036,0.383911341964222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.2500332,0,0,0,0,0,0,0,0,,None,568.2573096,0,-1,NA,NA,NA,NA,NA,NA,566.616636745352,0.38336325464752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.250621,0,0,0,0,0,0,0,0,,None,568.2578975,0,-1,NA,NA,NA,NA,NA,NA,566.61722388901,0.382776110990221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.4074938,0,0,0,0,0,0,0,0,,None,568.4147702,0,-1,NA,NA,NA,NA,NA,NA,566.77392152344,0.226078476560133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.4085171,0,0,0,0,0,0,0,0,,None,568.4157936,0,-1,NA,NA,NA,NA,NA,NA,566.774943680814,0.225056319186024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.4562279,0,0,0,0,0,0,0,0,,None,568.4635044,0,-1,NA,NA,NA,NA,NA,NA,566.822601206508,0.177398793491534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.4570579,0,0,0,0,0,0,0,0,,None,568.4643343,0,-1,NA,NA,NA,NA,NA,NA,566.823430279723,0.17656972027703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7134813,0,0,0,0,0,0,0,0,,None,568.7207578,0,-1,NA,NA,NA,NA,NA,NA,567.079567355064,0.920432644936227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7205878,0,0,0,0,0,0,0,0,,None,568.7278643,0,-1,NA,NA,NA,NA,NA,NA,567.086665919882,0.913334080117579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7210331,0,0,0,0,0,0,0,0,,None,568.7283096,0,-1,NA,NA,NA,NA,NA,NA,567.087110722656,0.912889277343538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7260788,0,0,0,0,0,0,0,0,,None,568.7333553,0,-1,NA,NA,NA,NA,NA,NA,567.092150788583,0.907849211417329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7267201,0,0,0,0,0,0,0,0,,None,568.7339965,0,-1,NA,NA,NA,NA,NA,NA,567.092791372501,0.907208627498562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7271409,0,0,0,0,0,0,0,0,,None,568.7344173,0,-1,NA,NA,NA,NA,NA,NA,567.093211702632,0.906788297367598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567.7330165,0,0,0,0,0,0,0,0,,None,568.740293,0,-1,NA,NA,NA,NA,NA,NA,567.099080741885,0.900919258115096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
