OTU ID	ICR_10_pp1	ICR_10_pp2	ICR_10_pp3	ICR_4_pp1	ICR_5_pp1	ICR_6_pp1	ICR_6_pp2	ICR_6_pp3	ICR_7_pp1	ICR_7_pp2	ICR_7_pp3	ICR_8_pp1	ICR_8_pp2	ICR_8_pp3	ICR_9_pp2	ICR_9_pp3	River_at_ICR10	River_at_ICR2_1	River_at_ICR2_2	River_at_ICR3	River_at_ICR7	River_at_ICR8	River_at_ICR9	taxonomy
OTU_45	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	1	277	0	0	32	6	0	5	"k__Archaea,p__Thaumarchaeota,c__Nitrososphaeria,o__Ca._Nitrosotaleales,f__?,g__?,s__?"
OTU_450	0	15	0	2	4	1	0	0	0	0	0	0	0	0	0	2	27	1	0	1	8	0	4	"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Blfdi19,g__?,s__?"
OTU_4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"k__Bacteria,p__Ca._Peregrinibacteria,c__?,o__?,f__?,g__?,s__?"
OTU_4501	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	"k__Bacteria,p__Chloroflexi,c__SBR2076,o__?,f__?,g__?,s__?"
OTU_4502	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	"k__Bacteria,p__Verrucomicrobia,c__OPB35_soil_group,o__?,f__?,g__?,s__?"
OTU_4503	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	3	"k__Bacteria,p__Acidobacteria,c__Subgroup_6,o__?,f__?,g__?,s__?"
OTU_4504	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"k__Bacteria,p__Ca._Parcubacteria,c__?,o__?,f__?,g__?,s__?"
OTU_4505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"k__Bacteria,p__Acidobacteria,c__Solibacteres_(Acidobacteria_group_3),o__Solibacterales,f__PAUC26f,g__?,s__?"
OTU_4506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"k__Bacteria,p__Ca._Dependentiae_(TM6),c__?,o__?,f__?,g__?,s__?"
OTU_4507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	"k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Oligoflexales,f__?,g__?,s__?"
OTU_4508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"k__Bacteria,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__?,g__?,s__?"
OTU_4509	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	4	"k__Bacteria,p__Acidobacteria,c__Acidobacteria_clade_RB25,o__Acidobacteria_group_22,f__?,g__?,s__?"
OTU_451	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	"k__Bacteria,p__Ca._Parcubacteria,c__Candidatus_Jorgensenbacteria,o__?,f__?,g__?,s__?"
OTU_4510	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	"k__Bacteria,p__Ca._Parcubacteria,c__?,o__?,f__?,g__?,s__?"
OTU_4511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	"k__Bacteria,p__Cyanobacteria,c__ML635J-21,o__?,f__?,g__?,s__?"
OTU_4512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	"k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__?,s__?"
